Date,Open,High,Low,Close,Adj_Close,Volume
Jul 13 1982,109.19,110.07,109.19,109.45,109.45,66170000
Jul 14 1982,109.68,110.44,109.08,110.44,110.44,58160000
Jul 15 1982,110.83,110.95,110.27,110.47,110.47,61090000
Jul 16 1982,110.16,111.48,110.16,111.07,111.07,58740000
Jul 19 1982,111.75,111.78,110.66,110.73,110.73,53030000
Jul 20 1982,111.11,111.56,110.35,111.54,111.54,61060000
Jul 21 1982,112.15,112.39,111.38,111.42,111.42,66770000
Jul 22 1982,110.95,112.02,110.94,111.48,111.48,53870000
Jul 23 1982,111.46,111.58,111.05,111.17,111.17,47280000
Jul 26 1982,110.66,111.16,110.29,110.36,110.36,37740000
Jul 27 1982,110.26,110.35,109.36,109.43,109.43,45740000
Jul 28 1982,109.42,109.42,107.53,107.74,107.74,53830000
Jul 29 1982,107.42,107.92,106.62,107.72,107.72,55680000
Jul 30 1982,107.35,107.95,107.01,107.09,107.09,39270000
Aug 02 1982,107.71,109.09,107.11,108.98,108.98,53460000
Aug 03 1982,108.98,109.43,107.81,107.83,107.83,60480000
Aug 04 1982,107.83,107.83,106.11,106.14,106.14,53440000
Aug 05 1982,106.1,106.1,104.76,105.16,105.16,54700000
Aug 06 1982,105.16,105.16,103.67,103.71,103.71,48660000
Aug 09 1982,103.69,103.69,102.2,103.08,103.08,54560000
Aug 10 1982,103.11,103.84,102.82,102.84,102.84,52680000
Aug 11 1982,102.83,103.01,102.48,102.6,102.6,49040000
Aug 12 1982,102.6,103.22,102.39,102.42,102.42,50080000
Aug 13 1982,102.42,103.85,102.4,103.85,103.85,44720000
Aug 16 1982,103.86,105.52,103.86,104.09,104.09,55420000
Aug 17 1982,105.4,109.04,104.09,109.04,109.04,92860000
Aug 18 1982,109.04,111.58,108.46,108.54,108.54,132690000
Aug 19 1982,108.53,109.86,108.34,109.16,109.16,78270000
Aug 20 1982,109.19,113.02,109.19,113.02,113.02,95890000
Aug 23 1982,113.02,116.11,112.65,116.11,116.11,110310000
Aug 24 1982,116.11,116.39,115.08,115.35,115.35,121650000
Aug 25 1982,115.35,118.12,115.11,117.58,117.58,106200000
Aug 26 1982,117.57,120.26,117.57,118.55,118.55,137330000
Aug 27 1982,117.38,118.56,116.63,117.11,117.11,74410000
Aug 30 1982,117.05,117.66,115.79,117.66,117.66,59560000
Aug 31 1982,117.65,119.6,117.65,119.51,119.51,86360000
Sep 01 1982,119.52,120.05,117.98,118.25,118.25,82830000
Sep 02 1982,118.24,120.32,117.84,120.29,120.29,74740000
Sep 03 1982,120.31,123.64,120.31,122.68,122.68,130910000
Sep 07 1982,122.68,122.68,121.19,121.37,121.37,68960000
Sep 08 1982,121.33,123.11,121.19,122.2,122.2,77960000
Sep 09 1982,122.19,123.22,121.9,121.97,121.97,73090000
Sep 10 1982,121.97,121.98,120.27,120.97,120.97,71080000
Sep 13 1982,120.94,122.24,120.25,122.24,122.24,59520000
Sep 14 1982,122.27,123.69,122.27,123.1,123.1,83070000
Sep 15 1982,123.09,124.81,122.72,124.29,124.29,69680000
Sep 16 1982,124.28,124.88,123.65,123.77,123.77,78900000
Sep 17 1982,123.76,123.76,122.34,122.55,122.55,63950000
Sep 20 1982,122.54,122.54,121.48,122.51,122.51,58520000
Sep 21 1982,122.51,124.91,122.51,124.88,124.88,82920000
Sep 22 1982,124.9,126.43,123.99,123.99,123.99,113150000
Sep 23 1982,123.99,124.19,122.96,123.81,123.81,68260000
Sep 24 1982,123.79,123.8,123.11,123.32,123.32,54600000
Sep 27 1982,123.32,123.62,122.75,123.62,123.62,44840000
Sep 28 1982,123.62,124.16,123.21,123.24,123.24,65900000
Sep 29 1982,123.24,123.24,121.28,121.63,121.63,62550000
Sep 30 1982,121.62,121.62,120.14,120.42,120.42,62610000
Oct 01 1982,120.4,121.97,120.15,121.97,121.97,65000000
Oct 04 1982,121.97,121.97,120.56,121.51,121.51,55650000
Oct 05 1982,121.6,122.73,121.6,121.98,121.98,69770000
Oct 06 1982,122,125.97,122,125.97,125.97,93570000
Oct 07 1982,125.99,128.96,125.99,128.8,128.8,147070000
Oct 08 1982,128.79,131.11,128.79,131.05,131.05,122250000
Oct 11 1982,131.06,135.53,131.06,134.47,134.47,138530000
Oct 12 1982,134.48,135.85,133.59,134.44,134.44,126310000
Oct 13 1982,134.42,137.97,134.14,136.71,136.71,139800000
Oct 14 1982,136.71,136.89,134.55,134.57,134.57,107530000
Oct 15 1982,134.55,134.61,133.28,133.57,133.57,80290000
Oct 18 1982,133.59,136.73,133.59,136.73,136.73,83790000
Oct 19 1982,136.73,137.96,135.72,136.58,136.58,100850000
Oct 20 1982,136.58,139.23,136.37,139.23,139.23,98680000
Oct 21 1982,139.23,140.27,137.63,139.06,139.06,122460000
Oct 22 1982,139.06,140.4,138.75,138.83,138.83,101120000
Oct 25 1982,138.81,138.81,133.32,133.32,133.32,83720000
Oct 26 1982,133.29,134.48,131.5,134.48,134.48,102080000
Oct 27 1982,134.48,135.92,134.48,135.29,135.29,81670000
Oct 28 1982,135.28,135.42,133.59,133.59,133.59,73590000
Oct 29 1982,133.54,134.02,132.64,133.72,133.72,74830000
Nov 01 1982,133.72,136.03,133.22,135.47,135.47,73530000
Nov 02 1982,135.48,138.51,135.48,137.49,137.49,104770000
Nov 03 1982,137.53,142.88,137.53,142.87,142.87,137010000
Nov 04 1982,142.85,143.99,141.65,141.85,141.85,149350000
Nov 05 1982,141.85,142.43,141.32,142.16,142.16,96550000
Nov 08 1982,142.12,142.12,139.98,140.44,140.44,75240000
Nov 09 1982,140.48,143.16,140.46,143.02,143.02,111220000
Nov 10 1982,143.04,144.36,140.8,141.16,141.16,113240000
Nov 11 1982,141.15,141.75,139.88,141.75,141.75,78410000
Nov 12 1982,141.75,141.85,139.53,139.53,139.53,95080000
Nov 15 1982,139.54,139.54,137,137.03,137.03,78900000
Nov 16 1982,136.97,136.97,134.05,135.42,135.42,102910000
Nov 17 1982,135.47,137.93,135.47,137.93,137.93,84440000
Nov 18 1982,137.93,138.78,137.47,138.34,138.34,77620000
Nov 19 1982,138.35,138.93,137,137.02,137.02,70310000
Nov 22 1982,137.03,137.1,134.21,134.22,134.22,74960000
Nov 23 1982,134.21,134.28,132.89,132.93,132.93,72920000
Nov 24 1982,132.92,133.88,132.92,133.88,133.88,67220000
Nov 26 1982,133.89,134.88,133.89,134.88,134.88,38810000
Nov 29 1982,134.89,135.29,133.69,134.2,134.2,61080000
Nov 30 1982,134.2,138.53,134.19,138.53,138.53,93470000
Dec 01 1982,138.56,140.37,138.35,138.72,138.72,107850000
Dec 02 1982,138.72,139.63,138.66,138.82,138.82,77600000
Dec 03 1982,138.87,139.59,138.59,138.69,138.69,71540000
Dec 06 1982,138.7,141.77,138.01,141.77,141.77,83880000
Dec 07 1982,141.79,143.68,141.79,142.72,142.72,111620000
Dec 08 1982,142.71,143.58,141.82,141.82,141.82,97430000
Dec 09 1982,141.8,141.8,139.92,140,140,90320000
Dec 10 1982,139.99,141.15,139.35,139.57,139.57,86430000
Dec 13 1982,139.57,140.12,139.5,139.95,139.95,63140000
Dec 14 1982,139.99,142.5,137.34,137.4,137.4,98380000
Dec 15 1982,137.4,137.4,135.12,135.24,135.24,81030000
Dec 16 1982,135.22,135.78,134.79,135.3,135.3,73680000
Dec 17 1982,135.35,137.71,135.35,137.49,137.49,76010000
Dec 20 1982,137.49,137.84,136.19,136.25,136.25,62210000
Dec 21 1982,136.24,139.27,136.07,138.61,138.61,78010000
Dec 22 1982,138.63,139.69,138.6,138.83,138.83,83470000
Dec 23 1982,138.84,139.94,138.84,139.72,139.72,62880000
Dec 27 1982,139.73,142.32,139.72,142.17,142.17,64690000
Dec 28 1982,142.18,142.34,140.75,140.77,140.77,58610000
Dec 29 1982,140.77,141.73,140.68,141.24,141.24,54810000
Dec 30 1982,141.24,141.68,140.22,140.33,140.33,56380000
Dec 31 1982,140.34,140.78,140.27,140.64,140.64,42110000
Jan 03 1983,140.65,141.33,138.2,138.34,138.34,59080000
Jan 04 1983,138.33,141.36,138.08,141.36,141.36,75530000
Jan 05 1983,141.35,142.6,141.15,141.96,141.96,95390000
Jan 06 1983,142.01,145.77,142.01,145.27,145.27,129410000
Jan 07 1983,145.27,146.46,145.15,145.18,145.18,127290000
Jan 10 1983,145.19,147.25,144.58,146.78,146.78,101890000
Jan 11 1983,146.79,146.83,145.38,145.78,145.78,98250000
Jan 12 1983,145.76,148.36,145.76,146.69,146.69,109850000
Jan 13 1983,146.67,146.94,145.67,145.73,145.73,77030000
Jan 14 1983,145.72,147.12,145.72,146.65,146.65,86480000
Jan 17 1983,146.65,147.9,146.64,146.72,146.72,89210000
Jan 18 1983,146.71,146.74,145.52,146.4,146.4,78380000
Jan 19 1983,146.4,146.45,144.51,145.27,145.27,80900000
Jan 20 1983,145.29,146.62,145.29,146.29,146.29,82790000
Jan 21 1983,146.3,146.3,143.25,143.85,143.85,77110000
Jan 24 1983,143.84,143.84,139.1,139.97,139.97,90800000
Jan 25 1983,139.98,141.75,139.98,141.75,141.75,79740000
Jan 26 1983,141.77,142.16,141.16,141.54,141.54,73720000
Jan 27 1983,141.54,144.3,141.54,144.27,144.27,88120000
Jan 28 1983,144.31,145.47,144.25,144.51,144.51,89490000
Jan 31 1983,144.51,145.3,143.93,145.3,145.3,67140000
Feb 01 1983,145.29,145.29,142.96,142.96,142.96,82750000
Feb 02 1983,142.95,143.52,141.9,143.23,143.23,77220000
Feb 03 1983,143.25,144.43,143.25,144.26,144.26,78890000
Feb 04 1983,144.26,146.14,144.14,146.14,146.14,87000000
Feb 07 1983,146.14,147.42,146.14,146.93,146.93,86030000
Feb 08 1983,146.93,147.21,145.52,145.7,145.7,76580000
Feb 09 1983,145.7,145.83,144.09,145,145,84520000
Feb 10 1983,145.04,147.75,145.04,147.5,147.5,93510000
Feb 11 1983,147.51,148.81,147.18,147.65,147.65,86700000
Feb 14 1983,147.71,149.14,147.4,148.93,148.93,72640000
Feb 15 1983,148.94,149.41,148.13,148.3,148.3,89040000
Feb 16 1983,148.31,148.66,147.41,147.43,147.43,82100000
Feb 17 1983,147.43,147.57,143.84,147.44,147.44,74930000
Feb 18 1983,147.44,148.29,147.21,148,148,77420000
Feb 22 1983,148.01,148.11,145.42,145.48,145.48,84080000
Feb 23 1983,145.47,146.79,145.4,146.79,146.79,84100000
Feb 24 1983,146.8,149.67,146.8,149.6,149.6,113220000
Feb 25 1983,149.6,150.88,149.6,149.74,149.74,100970000
Feb 28 1983,149.74,149.74,147.81,148.06,148.06,83750000
Mar 01 1983,148.07,150.88,148.07,150.88,150.88,103750000
Mar 02 1983,150.91,152.63,150.91,152.3,152.3,112600000
Mar 03 1983,152.31,154.16,152.31,153.48,153.48,114440000
Mar 04 1983,153.47,153.67,152.53,153.67,153.67,90930000
Mar 07 1983,153.67,154,152.65,153.67,153.67,84020000
Mar 08 1983,153.63,153.63,151.26,151.26,151.26,79410000
Mar 09 1983,151.25,152.87,150.84,152.87,152.87,84250000
Mar 10 1983,152.87,154.01,151.75,151.8,151.8,95410000
Mar 11 1983,151.75,151.75,150.65,151.24,151.24,67240000
Mar 14 1983,151.28,151.3,150.24,150.83,150.83,61890000
Mar 15 1983,150.83,151.37,150.4,151.37,151.37,62410000
Mar 16 1983,151.36,151.62,149.78,149.81,149.81,83570000
Mar 17 1983,149.8,149.8,149.12,149.59,149.59,70290000
Mar 18 1983,149.59,150.29,149.56,149.9,149.9,75110000
Mar 21 1983,149.82,151.2,149.32,151.19,151.19,72160000
Mar 22 1983,151.21,151.59,150.6,150.66,150.66,79610000
Mar 23 1983,150.65,152.98,150.65,152.81,152.81,94980000
Mar 24 1983,152.82,153.78,152.82,153.37,153.37,92340000
Mar 25 1983,153.37,153.71,152.3,152.67,152.67,77330000
Mar 28 1983,152.67,152.67,151.56,151.85,151.85,58510000
Mar 29 1983,151.85,152.46,151.42,151.59,151.59,65300000
Mar 30 1983,151.6,153.39,151.6,153.39,153.39,75800000
Mar 31 1983,153.41,155.02,152.86,152.96,152.96,100570000
Apr 04 1983,152.92,153.02,152.23,153.02,153.02,66010000
Apr 05 1983,153.04,153.92,151.81,151.9,151.9,76810000
Apr 06 1983,151.9,151.9,150.17,151.04,151.04,77140000
Apr 07 1983,151.04,151.76,150.81,151.76,151.76,69480000
Apr 08 1983,151.77,152.85,151.39,152.85,152.85,67710000
Apr 11 1983,152.87,155.14,152.87,155.14,155.14,81440000
Apr 12 1983,155.15,155.82,154.78,155.82,155.82,79900000
Apr 13 1983,155.82,157.22,155.82,156.77,156.77,100520000
Apr 14 1983,156.8,158.12,156.55,158.12,158.12,90160000
Apr 15 1983,158.11,158.75,158.11,158.75,158.75,89590000
Apr 18 1983,158.75,159.75,158.41,159.74,159.74,88560000
Apr 19 1983,159.74,159.74,158.54,158.71,158.71,91210000
Apr 20 1983,158.71,160.83,158.71,160.71,160.71,110240000
Apr 21 1983,160.73,161.08,159.96,160.05,160.05,106170000
Apr 22 1983,160.04,160.76,160.02,160.42,160.42,92270000
Apr 25 1983,160.43,160.83,158.72,158.81,158.81,90150000
Apr 26 1983,158.81,161.81,158.07,161.81,161.81,91210000
Apr 27 1983,161.85,162.77,160.76,161.44,161.44,118140000
Apr 28 1983,161.44,162.96,161.44,162.95,162.95,94410000
Apr 29 1983,162.97,164.43,162.72,164.43,164.43,105750000
May 02 1983,164.41,164.42,161.99,162.11,162.11,88170000
May 03 1983,162.1,162.35,160.8,162.34,162.34,89550000
May 04 1983,162.38,163.64,162.38,163.31,163.31,101690000
May 05 1983,163.35,164.3,163.35,164.28,164.28,107860000
May 06 1983,164.3,166.99,164.3,166.1,166.1,128200000
May 09 1983,166.1,166.46,164.9,165.81,165.81,93670000
May 10 1983,165.82,166.4,165.74,165.95,165.95,104010000
May 11 1983,165.95,166.3,164.53,164.96,164.96,99820000
May 12 1983,164.98,165.35,163.82,164.25,164.25,84060000
May 13 1983,164.26,165.23,164.26,164.91,164.91,83110000
May 16 1983,164.9,164.9,162.33,163.4,163.4,76250000
May 17 1983,163.4,163.71,162.55,163.71,163.71,79510000
May 18 1983,163.73,165.18,163.16,163.27,163.27,99780000
May 19 1983,163.27,163.61,161.98,161.99,161.99,83260000
May 20 1983,161.97,162.14,161.25,162.14,162.14,73150000
May 23 1983,162.06,163.5,160.29,163.43,163.43,84960000
May 24 1983,163.45,165.59,163.45,165.54,165.54,109850000
May 25 1983,165.54,166.21,164.79,166.21,166.21,121050000
May 26 1983,166.22,166.39,165.27,165.48,165.48,94980000
May 27 1983,165.49,165.49,164.33,164.46,164.46,76290000
May 31 1983,164.44,164.44,162.12,162.39,162.39,73910000
Jun 01 1983,162.38,162.64,161.33,162.55,162.55,84460000
Jun 02 1983,162.56,164,162.56,163.98,163.98,89750000
Jun 03 1983,163.96,164.79,163.96,164.42,164.42,83110000
Jun 06 1983,164.43,165.09,163.75,164.83,164.83,87670000
Jun 07 1983,164.84,164.93,162.77,162.77,162.77,88550000
Jun 08 1983,162.78,162.78,161.35,161.36,161.36,96600000
Jun 09 1983,161.37,161.92,160.8,161.83,161.83,87440000
Jun 10 1983,161.86,162.76,161.86,162.68,162.68,78470000
Jun 13 1983,162.7,164.84,162.7,164.84,164.84,90700000
Jun 14 1983,164.87,165.93,164.87,165.53,165.53,97710000
Jun 15 1983,165.52,167.12,165.07,167.12,167.12,93410000
Jun 16 1983,167.11,169.38,167.11,169.14,169.14,124560000
Jun 17 1983,169.11,169.64,168.6,169.13,169.13,93630000
Jun 20 1983,169.13,170.1,168.59,169.02,169.02,84270000
Jun 21 1983,169.03,170.6,168.25,170.53,170.53,102880000
Jun 22 1983,170.53,171.6,170.42,170.99,170.99,110270000
Jun 23 1983,170.99,171,170.13,170.57,170.57,89590000
Jun 24 1983,170.57,170.69,170.03,170.41,170.41,80810000
Jun 27 1983,170.4,170.46,168.32,168.46,168.46,69360000
Jun 28 1983,168.45,168.81,165.67,165.68,165.68,82730000
Jun 29 1983,165.78,166.64,165.43,166.64,166.64,81580000
Jun 30 1983,167.64,167.64,167.64,167.64,167.64,76310000
Jul 01 1983,168.11,168.64,167.77,168.64,168.64,65110000
Jul 05 1983,166.55,168.8,165.8,166.6,166.6,67320000
Jul 06 1983,166.71,168.88,166.49,168.48,168.48,85670000
Jul 07 1983,168.48,169.15,167.08,167.56,167.56,97130000
Jul 08 1983,167.56,167.98,166.95,167.08,167.08,66520000
Jul 11 1983,167.09,168.11,167.09,168.11,168.11,61610000
Jul 12 1983,168.05,168.05,165.51,165.53,165.53,70220000
Jul 13 1983,165,165.68,164.77,165.46,165.46,68900000
Jul 14 1983,165.61,166.96,165.61,166.01,166.01,83500000
Jul 15 1983,166.01,166.04,164.03,164.29,164.29,63160000
Jul 18 1983,164.28,164.29,163.3,163.95,163.95,69110000
Jul 19 1983,163.95,165.18,163.95,164.82,164.82,74030000
Jul 20 1983,164.89,169.29,164.89,169.29,169.29,109310000
Jul 21 1983,169.29,169.8,168.33,169.06,169.06,101830000
Jul 22 1983,168.51,169.08,168.4,168.89,168.89,68850000
Jul 25 1983,167.67,169.74,167.63,169.53,169.53,73680000
Jul 26 1983,169.62,170.63,169.26,170.53,170.53,91280000
Jul 27 1983,170.68,170.72,167.49,167.59,167.59,99290000
Jul 28 1983,167.32,167.79,164.99,165.04,165.04,78410000
Jul 29 1983,165.03,165.03,161.5,162.56,162.56,95240000
Aug 01 1983,162.34,162.78,161.55,162.04,162.04,77210000
Aug 02 1983,162.06,163.04,161.97,162.01,162.01,74460000
Aug 03 1983,162.01,163.44,161.52,163.44,163.44,80370000
Aug 04 1983,163.28,163.42,159.63,161.33,161.33,100870000
Aug 05 1983,161.33,161.88,160.89,161.74,161.74,67850000
Aug 08 1983,161.73,161.73,159.18,159.18,159.18,71460000
Aug 09 1983,159.2,160.14,158.5,160.13,160.13,81420000
Aug 10 1983,160.11,161.77,159.47,161.54,161.54,82900000
Aug 11 1983,161.55,162.14,161.41,161.54,161.54,70630000
Aug 12 1983,161.55,162.6,161.55,162.16,162.16,71840000
Aug 15 1983,162.22,164.76,162.22,163.7,163.7,83200000
Aug 16 1983,163.74,163.84,162.72,163.41,163.41,71780000
Aug 17 1983,163.58,165.4,163.43,165.29,165.29,87800000
Aug 18 1983,165.29,165.91,163.55,163.55,163.55,82280000
Aug 19 1983,163.58,164.27,163.22,163.98,163.98,58950000
Aug 22 1983,164.18,165.64,163.77,164.34,164.34,76420000
Aug 23 1983,164.33,164.33,162.54,162.77,162.77,66800000
Aug 24 1983,162.77,162.77,161.2,161.25,161.25,72200000
Aug 25 1983,161.27,161.28,159.96,160.84,160.84,70140000
Aug 26 1983,160.85,162.16,160.25,162.14,162.14,61650000
Aug 29 1983,162.14,162.32,160.97,162.25,162.25,53030000
Aug 30 1983,162.25,163.13,162.11,162.58,162.58,62370000
Aug 31 1983,162.55,164.4,162.32,164.4,164.4,80800000
Sep 01 1983,164.4,164.66,163.95,164.23,164.23,76120000
Sep 02 1983,164.25,165.07,164.21,165,165,59300000
Sep 06 1983,165.2,167.9,165.03,167.89,167.89,87500000
Sep 07 1983,167.9,168.48,167.46,167.96,167.96,94240000
Sep 08 1983,167.96,168.14,167.12,167.77,167.77,79250000
Sep 09 1983,167.77,167.77,166.91,166.92,166.92,77990000
Sep 12 1983,166.95,169.2,165.27,165.48,165.48,114020000
Sep 13 1983,165.48,165.48,164.17,164.8,164.8,73970000
Sep 14 1983,164.8,165.42,164.63,165.35,165.35,73370000
Sep 15 1983,165.39,165.58,164.38,164.38,164.38,70420000
Sep 16 1983,164.42,166.57,164.39,166.25,166.25,75530000
Sep 19 1983,166.27,168.09,166.26,167.62,167.62,85630000
Sep 20 1983,167.64,169.38,167.64,169.24,169.24,103050000
Sep 21 1983,169.27,169.3,168.21,168.41,168.41,91280000
Sep 22 1983,168.4,169.78,168.22,169.76,169.76,97050000
Sep 23 1983,169.76,170.17,168.88,169.51,169.51,93180000
Sep 26 1983,169.53,170.41,169.16,170.07,170.07,86400000
Sep 27 1983,170.02,170.02,167.95,168.43,168.43,81100000
Sep 28 1983,168.42,168.53,167.52,168,168,75820000
Sep 29 1983,168.02,168.35,167.23,167.23,167.23,73730000
Sep 30 1983,167.23,167.23,165.63,166.07,166.07,70860000
Oct 03 1983,165.99,166.07,164.93,165.81,165.81,77230000
Oct 04 1983,165.81,166.8,165.81,166.27,166.27,90270000
Oct 05 1983,166.29,167.74,165.92,167.74,167.74,101710000
Oct 06 1983,167.76,170.28,167.76,170.28,170.28,118270000
Oct 07 1983,170.32,171.1,170.31,170.8,170.8,103630000
Oct 10 1983,170.77,172.65,170.05,172.65,172.65,67050000
Oct 11 1983,172.59,172.59,170.34,170.34,170.34,79510000
Oct 12 1983,170.34,170.84,169.34,169.62,169.62,75630000
Oct 13 1983,169.63,170.12,169.13,169.87,169.87,67750000
Oct 14 1983,169.88,169.99,169.18,169.86,169.86,71600000
Oct 17 1983,169.85,171.18,169.63,170.43,170.43,77730000
Oct 18 1983,170.41,170.41,167.67,167.81,167.81,91080000
Oct 19 1983,167.81,167.81,165.67,166.73,166.73,107790000
Oct 20 1983,166.77,167.35,166.44,166.98,166.98,86000000
Oct 21 1983,166.97,167.23,164.98,165.95,165.95,91640000
Oct 24 1983,165.85,165.99,163.85,165.99,165.99,85420000
Oct 25 1983,166,167.15,166,166.47,166.47,82530000
Oct 26 1983,166.49,166.65,165.36,165.38,165.38,79570000
Oct 27 1983,165.31,165.38,164.41,164.84,164.84,79570000
Oct 28 1983,164.89,165.19,163.23,163.37,163.37,81180000
Oct 31 1983,163.37,164.58,162.86,163.55,163.55,79460000
Nov 01 1983,163.55,163.66,162.37,163.66,163.66,84460000
Nov 02 1983,165.21,165.21,163.55,164.84,164.84,95210000
Nov 03 1983,164.84,164.85,163.42,163.45,163.45,85350000
Nov 04 1983,162.68,163.45,162.22,162.44,162.44,72080000
Nov 07 1983,162.42,162.56,161.84,161.91,161.91,69400000
Nov 08 1983,161.91,162.15,161.63,161.76,161.76,64900000
Nov 09 1983,161.74,163.97,161.74,163.97,163.97,83100000
Nov 10 1983,163.99,164.71,163.97,164.41,164.41,88730000
Nov 11 1983,164.41,166.3,164.34,166.29,166.29,74270000
Nov 14 1983,166.29,167.58,166.27,166.58,166.58,86880000
Nov 15 1983,166.58,166.59,165.28,165.36,165.36,77840000
Nov 16 1983,165.36,166.41,165.34,166.08,166.08,83380000
Nov 17 1983,166.08,166.49,165.51,166.13,166.13,80740000
Nov 18 1983,166.08,166.13,164.5,165.09,165.09,88280000
Nov 21 1983,165.04,166.05,165,166.05,166.05,97740000
Nov 22 1983,166.05,167.26,166.05,166.84,166.84,117550000
Nov 23 1983,166.88,167.21,166.26,166.96,166.96,108080000
Nov 25 1983,167.02,167.2,166.73,167.18,167.18,57820000
Nov 28 1983,167.2,167.22,166.21,166.54,166.54,78210000
Nov 29 1983,166.54,167.92,166.17,167.91,167.91,100460000
Nov 30 1983,167.91,168.07,166.33,166.4,166.4,120130000
Dec 01 1983,166.37,166.77,166.08,166.49,166.49,106970000
Dec 02 1983,166.49,166.7,165.25,165.44,165.44,93960000
Dec 05 1983,165.44,165.79,164.71,165.76,165.76,88330000
Dec 06 1983,165.77,165.93,165.34,165.47,165.47,89690000
Dec 07 1983,165.47,166.34,165.35,165.91,165.91,105670000
Dec 08 1983,165.91,166.01,164.86,165.2,165.2,96530000
Dec 09 1983,165.2,165.29,164.5,165.08,165.08,98280000
Dec 12 1983,165.13,165.62,164.99,165.62,165.62,77340000
Dec 13 1983,165.62,165.63,164.85,164.93,164.93,93500000
Dec 14 1983,164.93,164.93,163.25,163.33,163.33,85430000
Dec 15 1983,163.33,163.33,161.66,161.66,161.66,88300000
Dec 16 1983,161.69,162.39,161.58,162.39,162.39,81030000
Dec 19 1983,162.34,162.88,162.27,162.32,162.32,75180000
Dec 20 1983,162.33,162.8,161.64,162,162,83740000
Dec 21 1983,162,163.57,161.99,163.56,163.56,108080000
